temperature_c,humidity_pct,smoke_ppm,air_quality_ppm,mq2_volts,mq135_volts,flame_analog_volts,flame_detected,timestamp_s,episode_id,regime,regime_label,temp_rate_c_per_min,smoke_rate_ppm_per_min,heat_index_c,label,label_int
18.9,47.0,574.25,116.602,2.2016,2.2089,0.1499,0,61242.61,0,flaming,SAFE,0.0,0.0,18.073,SAFE,0
18.8,46.3,581.099,116.34,2.2097,2.1952,0.1499,0,61244.61,0,flaming,SAFE,-3.0,205.47,17.944,SAFE,0
19.0,47.1,575.714,115.39,2.196,2.196,0.1499,0,61246.61,0,flaming,SAFE,6.0,-161.55,18.185,SAFE,0
19.2,46.8,584.189,113.266,2.2048,2.1887,0.1499,0,61248.61,0,flaming,SAFE,6.0,254.25,18.398,SAFE,0
19.2,46.7,601.096,111.492,2.2258,2.1855,0.1499,0,61250.61,0,flaming,SAFE,0.0,507.21,18.395,SAFE,0
19.2,46.6,598.086,111.856,2.2234,2.1871,0.1499,0,61252.61,0,flaming,SAFE,0.0,-90.3,18.392,SAFE,0
19.2,46.8,614.959,114.467,2.2395,2.1968,0.1499,0,61254.61,0,flaming,SAFE,0.0,506.19,18.398,SAFE,0
19.3,46.6,617.343,113.194,2.2347,2.1911,0.1499,0,61256.61,0,flaming,SAFE,3.0,71.52,18.502,SAFE,0
19.7,46.0,618.504,113.162,2.2419,2.1903,0.1499,0,61258.61,0,flaming,SAFE,12.0,34.83,18.927,SAFE,0
19.3,47.9,635.816,111.217,2.2532,2.1839,0.1499,0,61260.61,0,flaming,SAFE,-12.0,519.36,18.536,SAFE,0
19.4,45.3,636.667,110.344,2.254,2.171,0.1499,0,61262.61,0,flaming,SAFE,3.0,25.53,18.578,SAFE,0
19.5,46.9,645.15,113.222,2.2604,2.1919,0.1499,0,61264.61,0,flaming,SAFE,3.0,254.49,18.73,SAFE,0
19.4,46.8,637.027,113.612,2.254,2.1903,0.1499,0,61266.61,0,flaming,SAFE,-3.0,-243.69,18.618,SAFE,0
19.7,46.1,646.975,117.164,2.258,2.2056,0.1499,0,61268.61,0,flaming,SAFE,9.0,298.44,18.929,SAFE,0
19.5,46.4,644.643,113.702,2.2629,2.1887,0.1499,0,61270.61,0,flaming,SAFE,-6.0,-69.96,18.717,SAFE,0
19.3,46.8,649.636,113.542,2.2524,2.1895,0.1499,0,61272.61,0,flaming,SAFE,-6.0,149.79,18.508,SAFE,0
19.7,45.8,652.177,114.36,2.258,2.1879,0.1499,0,61274.61,0,flaming,SAFE,12.0,76.23,18.921,SAFE,0
20.2,44.8,622.712,115.352,2.2508,2.1984,0.1499,0,61276.61,0,flaming,SAFE,15.0,-883.95,19.445,SAFE,0
20.0,46.1,615.633,113.552,2.2338,2.1855,0.1499,0,61278.61,0,flaming,SAFE,-6.0,-212.37,19.259,SAFE,0
19.8,46.2,605.39,111.253,2.2298,2.1831,0.1499,0,61280.61,0,flaming,SAFE,-6.0,-307.29,19.042,SAFE,0
19.7,45.7,605.464,111.957,2.2234,2.1855,0.1499,0,61282.61,0,flaming,SAFE,-3.0,2.22,18.919,SAFE,0
20.4,45.6,601.104,113.344,2.2242,2.1847,0.1499,0,61284.61,0,flaming,SAFE,21.0,-130.8,19.686,SAFE,0
20.1,46.1,608.137,114.941,2.2355,2.1927,0.1499,0,61286.61,0,flaming,SAFE,-9.0,210.99,19.369,SAFE,0
20.3,45.6,589.253,117.285,2.2153,2.2008,0.1499,0,61288.61,0,flaming,SAFE,6.0,-566.52,19.576,SAFE,0
20.1,45.9,595.774,116.244,2.221,2.2008,0.1499,0,61290.61,0,flaming,SAFE,-6.0,195.63,19.364,SAFE,0
